Wall time,Step,Value
1739039702.9402492,90,84.0459976196289
1739039828.130421,91,84.44999694824219
1739039953.4425948,92,84.19999694824219
1739040078.948006,93,84.552001953125
1739040204.5308435,94,84.96399688720703
1739040330.0161626,95,85.26599884033203
1739040455.557938,96,85.36399841308594
1739040581.9829688,97,85.7699966430664
1739040707.8529966,98,85.94999694824219
1739040833.5540237,99,85.9000015258789
1739040959.7309275,100,86.31199645996094
1739041085.7200203,101,86.61399841308594
1739041210.8493457,102,86.82599639892578
1739041336.0398123,103,86.73799896240234
1739041461.8132944,104,87.07599639892578
1739041589.1324487,105,87.447998046875
1739041717.2465658,106,87.5199966430664
1739041845.5235412,107,87.80999755859375
1739041974.4023058,108,87.95999908447266
1739042101.9502492,109,88.2300033569336
1739042229.0707657,110,88.56600189208984
1739042355.2883387,111,88.70800018310547
1739042481.57567,112,88.90399932861328
1739042607.632356,113,89.19999694824219
1739042740.8298934,114,89.43199920654297
1739042866.788363,115,89.62200164794922
1739042992.6853023,116,89.77200317382812
1739043118.1238136,117,90.10800170898438
1739043243.242574,118,90.4260025024414
1739043368.4950504,119,90.41000366210938
1739043493.6382468,120,90.45999908447266
1739043619.0077941,121,90.79000091552734
1739043744.1870143,122,90.89199829101562
1739043869.2761946,123,91.08599853515625
1739043994.4466043,124,91.45999908447266
1739044119.5883348,125,91.50399780273438
1739044244.9455929,126,91.92400360107422
1739044370.441977,127,91.8479995727539
1739044495.8269382,128,92.22000122070312
1739044620.9978638,129,92.47200012207031
1739044746.0791333,130,92.5739974975586
1739044871.1616561,131,92.99199676513672
1739044996.274068,132,92.9540023803711
1739045121.7811973,133,93.1240005493164
1739045247.4471025,134,93.3479995727539
1739045373.0240617,135,93.56199645996094
1739045498.9609413,136,93.69999694824219
1739045625.5751991,137,93.91000366210938
1739045751.7778037,138,94.12999725341797
1739045876.9225216,139,94.29000091552734
1739046000.7508705,140,94.447998046875
1739046124.2867053,141,94.74800109863281
1739046248.0932946,142,94.80000305175781
1739046372.022971,143,94.86799621582031
1739046496.1084962,144,95.22799682617188
1739046621.5247722,145,95.34600067138672
1739046747.0810668,146,95.25
1739046873.091016,147,95.65399932861328
1739046998.7023323,148,95.71800231933594
1739047124.4497778,149,95.86799621582031
1739047250.270672,150,95.97200012207031
1739047376.1546092,151,96.23600006103516
1739047501.6860967,152,96.29000091552734
1739047627.3687222,153,96.44400024414062
1739047752.1860735,154,96.61799621582031
1739047876.8470016,155,96.56600189208984
1739048001.3428261,156,96.80999755859375
1739048126.8638124,157,96.74800109863281
1739048252.3842204,158,97.10199737548828
1739048377.8447194,159,97.02200317382812
1739048502.8795612,160,97.13600158691406
1739048628.376514,161,97.2300033569336
1739048753.460085,162,97.42400360107422
1739048878.4072917,163,97.46199798583984
1739049003.3973832,164,97.61399841308594
1739049128.7697804,165,97.63600158691406
1739049254.3039713,166,97.66400146484375
1739049379.0310674,167,97.86599731445312
1739049503.0647469,168,97.8759994506836
1739049627.2072854,169,97.90599822998047
1739049752.4918816,170,98.01000213623047
1739049876.6458642,171,98.13800048828125
1739050000.3812234,172,98.18399810791016
1739050125.0859988,173,98.39199829101562
1739050250.5198483,174,98.23600006103516
1739050375.8188918,175,98.3219985961914
1739050501.011306,176,98.32599639892578
1739050626.154995,177,98.43399810791016
1739050751.108046,178,98.44400024414062
1739050876.032391,179,98.55400085449219
1739051001.1298585,180,98.66000366210938
1739051126.3767114,181,98.45600128173828
1739051251.6438751,182,98.59400177001953
1739051376.8681364,183,98.66000366210938
1739051502.1951072,184,98.5999984741211
1739051627.351622,185,98.75399780273438
1739051752.0487673,186,98.75
1739051876.414863,187,98.73799896240234
1739052000.5012197,188,98.78399658203125
1739052124.4361157,189,98.85199737548828
1739052248.6987727,190,98.89399719238281
1739052372.6542742,191,98.88999938964844
1739052497.2708476,192,98.96399688720703
1739052622.0124857,193,98.85199737548828
1739052746.92315,194,98.88999938964844
1739052871.8307178,195,98.88600158691406
1739052997.0009053,196,98.97000122070312
1739053122.7549896,197,99.0
1739053248.442962,198,98.83399963378906
1739053374.4343433,199,98.88600158691406
